income,labour,national,act,actRebate,tpm,top,greens
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1000,0.105,0.105,0.175,0.175,0.000,0.000,0.000
2000,0.105,0.105,0.175,0.175,0.000,0.000,0.000
3000,0.105,0.105,0.175,0.148,0.000,0.000,0.000
4000,0.105,0.105,0.175,0.135,0.000,0.000,0.000
5000,0.105,0.105,0.175,0.127,0.000,0.000,0.000
6000,0.105,0.105,0.175,0.122,0.000,0.000,0.000
7000,0.105,0.105,0.175,0.118,0.000,0.000,0.000
8000,0.105,0.105,0.175,0.115,0.000,0.000,0.000
9000,0.105,0.105,0.175,0.113,0.000,0.000,0.000
10000,0.105,0.105,0.175,0.111,0.000,0.000,0.000
11000,0.105,0.105,0.175,0.110,0.000,0.000,0.015
12000,0.105,0.105,0.175,0.108,0.000,0.000,0.028
13000,0.105,0.105,0.175,0.113,0.000,0.000,0.039
14000,0.105,0.105,0.175,0.118,0.000,0.000,0.049
15000,0.110,0.105,0.175,0.122,0.000,0.000,0.057
16000,0.114,0.107,0.175,0.125,0.000,0.013,0.064
17000,0.117,0.111,0.175,0.128,0.000,0.024,0.070
18000,0.121,0.114,0.175,0.131,0.000,0.033,0.076
19000,0.123,0.118,0.175,0.133,0.000,0.042,0.081
20000,0.126,0.120,0.175,0.135,0.000,0.050,0.085
21000,0.128,0.123,0.175,0.137,0.000,0.057,0.089
22000,0.130,0.125,0.175,0.139,0.000,0.064,0.093
23000,0.132,0.128,0.175,0.140,0.000,0.070,0.096
24000,0.134,0.130,0.175,0.142,0.000,0.075,0.099
25000,0.136,0.131,0.175,0.143,0.000,0.080,0.102
26000,0.137,0.133,0.175,0.144,0.000,0.085,0.105
27000,0.139,0.135,0.175,0.145,0.000,0.089,0.107
28000,0.140,0.136,0.175,0.146,0.000,0.093,0.109
29000,0.141,0.137,0.175,0.147,0.000,0.097,0.111
30000,0.142,0.139,0.175,0.148,0.000,0.100,0.113
31000,0.143,0.140,0.175,0.149,0.005,0.103,0.115
32000,0.144,0.141,0.175,0.150,0.009,0.106,0.117
33000,0.145,0.142,0.175,0.151,0.014,0.109,0.118
34000,0.146,0.143,0.175,0.151,0.018,0.112,0.120
35000,0.147,0.144,0.175,0.152,0.021,0.114,0.121
36000,0.148,0.145,0.175,0.153,0.025,0.117,0.123
37000,0.149,0.145,0.175,0.153,0.028,0.119,0.124
38000,0.149,0.146,0.175,0.154,0.032,0.121,0.125
39000,0.150,0.147,0.175,0.154,0.035,0.123,0.126
40000,0.150,0.148,0.175,0.155,0.037,0.125,0.128
41000,0.151,0.148,0.175,0.155,0.040,0.127,0.129
42000,0.152,0.149,0.175,0.156,0.043,0.129,0.130
43000,0.152,0.150,0.175,0.156,0.045,0.130,0.130
44000,0.153,0.150,0.175,0.157,0.048,0.132,0.131
45000,0.153,0.151,0.175,0.157,0.050,0.133,0.132
46000,0.154,0.151,0.175,0.158,0.052,0.135,0.133
47000,0.154,0.152,0.175,0.158,0.054,0.136,0.134
48000,0.155,0.152,0.175,0.158,0.056,0.138,0.135
49000,0.158,0.153,0.175,0.160,0.058,0.139,0.135
50000,0.160,0.153,0.175,0.162,0.060,0.140,0.136
51000,0.163,0.154,0.175,0.164,0.062,0.141,0.139
52000,0.166,0.154,0.175,0.166,0.063,0.142,0.142
53000,0.168,0.154,0.175,0.167,0.065,0.143,0.145
54000,0.171,0.156,0.175,0.169,0.067,0.144,0.148
55000,0.173,0.159,0.175,0.171,0.068,0.145,0.151
56000,0.175,0.161,0.175,0.172,0.070,0.146,0.154
57000,0.178,0.164,0.175,0.174,0.071,0.147,0.156
58000,0.180,0.166,0.175,0.175,0.072,0.148,0.159
59000,0.182,0.168,0.175,0.175,0.074,0.149,0.161
60000,0.184,0.170,0.175,0.175,0.075,0.150,0.163
